title	genres	release_date	vote_average	runtime	original_language
Mr. Holland's Opus	" 10402, 'Music',  18, 'Drama',  10751, 'Family'"	12291995	6.9	137	en
Don't Be a Menace to South Central While Drinking Your Juice in the Hood	" 35, 'Comedy'"	1121996	6.2	89	en
Two If by Sea	" 35, 'Comedy',  10749, 'Romance'"	1121996	4.5	96	en
Bio-Dome	" 35, 'Comedy'"	1121996	4.4	88	en
Lawnmower Man 2: Beyond Cyberspace	" 28, 'Action',  878, 'Science Fiction'"	1121996	2.8	92	en
Two Bits	" 18, 'Drama',  10751, 'Family'"	10221995	5.4	85	en
French Twist	" 35, 'Comedy',  10749, 'Romance'"	281995	6	95	fr
Friday	" 35, 'Comedy'"	4261995	7	91	en
From Dusk Till Dawn	" 27, 'Horror',  28, 'Action',  53, 'Thriller',  80, 'Crime'"	1191996	6.9	108	en
Fair Game	" 28, 'Action',  53, 'Thriller',  10749, 'Romance'"	1131995	4.1	91	en
Kicking and Screaming	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	1061995	7	96	en
Les Miserables	" 18, 'Drama',  36, 'History'"	3221995	6.6	175	fr
Bed of Roses	" 18, 'Drama',  10749, 'Romance'"	1261996	5.1	87	en
Big Bully	" 35, 'Comedy',  10751, 'Family'"	1261996	3.9	90	en
Screamers	" 27, 'Horror',  878, 'Science Fiction'"	981995	6.1	108	en
Nico Icon	" 99, 'Documentary'"	2181995	7.3	70	en
The Crossing Guard	" 18, 'Drama',  53, 'Thriller'"	11151995	6.1	111	en
The Juror	" 18, 'Drama',  53, 'Thriller'"	221996	5.5	118	en
The White Balloon	" 10751, 'Family',  18, 'Drama'"	111995	7.5	85	fa
Things to Do in Denver When You're Dead	" 18, 'Drama',  80, 'Crime'"	1211995	6.7	116	en
Antonia's Line	" 18, 'Drama',  35, 'Comedy'"	9121995	7.2	102	nl
Once Upon a Time... When We Were Colored	" 10749, 'Romance',  18, 'Drama'"	1261996	4.5	115	en
Last Summer in the Hamptons	 " 'Null 	11221995	0	108	en
Angels and Insects	" 18, 'Drama',  10749, 'Romance'"	9101995	6.3	118	en
White Squall	" 28, 'Action',  18, 'Drama'"	221996	6.3	129	en
Dunston Checks In	" 12, 'Adventure',  35, 'Comedy',  10751, 'Family'"	1121996	5.1	88	en
Black Sheep	" 35, 'Comedy'"	211996	6	87	en
Nick of Time	" 80, 'Crime',  18, 'Drama',  53, 'Thriller'"	11221995	6.1	90	en
The Journey of August King	" 18, 'Drama'"	9141995	6.7	91	en
Mary Reilly	" 18, 'Drama',  27, 'Horror',  53, 'Thriller',  10749, 'Romance'"	2231996	5.7	104	en
Vampire in Brooklyn	" 35, 'Comedy',  27, 'Horror',  10749, 'Romance'"	10261995	4.5	100	en
Beautiful Girls	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	291996	6.6	112	en
Broken Arrow	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  53, 'Thriller'"	291996	5.7	108	en
A Midwinter's Tale	" 35, 'Comedy'"	1211995	7.5	99	en
La Haine	" 18, 'Drama'"	5311995	7.9	98	fr
Shopping	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  878, 'Science Fiction',  53, 'Thriller'"	1261994	5.6	105	en
Heidi Fleiss: Hollywood Madam	" 99, 'Documentary'"	12271995	6.8	106	en
City Hall	" 18, 'Drama',  53, 'Thriller'"	2161996	6	111	en
Bottle Rocket	" 35, 'Comedy',  80, 'Crime',  18, 'Drama'"	2211996	6.8	91	en
Mr. Wrong	" 35, 'Comedy',  10749, 'Romance'"	2161996	3.3	96	en
Unforgettable	" 18, 'Drama',  9648, 'Mystery',  878, 'Science Fiction',  53, 'Thriller'"	2231996	5.3	106	en
Happy Gilmore	" 35, 'Comedy'"	2161996	6.5	92	en
The Bridges of Madison County	" 18, 'Drama',  10749, 'Romance'"	5281995	7.3	135	en
Nobody Loves Me	" 18, 'Drama',  35, 'Comedy',  10751, 'Family'"	1171994	5.1	104	de
Muppet Treasure Island	" 28, 'Action',  35, 'Comedy',  10402, 'Music',  10751, 'Family',  12, 'Adventure'"	2161996	6.5	100	en
Catwalk	" 99, 'Documentary'"	1281995	7	95	en
Headless Body in Topless Bar	" 80, 'Crime'"	5201995	0	110	en
Braveheart	" 28, 'Action',  18, 'Drama',  36, 'History',  10752, 'War'"	5241995	7.7	177	en
Taxi Driver	" 80, 'Crime',  18, 'Drama'"	271976	8.1	114	en
Rumble in the Bronx	" 80, 'Crime',  28, 'Action',  35, 'Comedy',  53, 'Thriller'"	1301995	6.5	91	cn
Before and After	" 18, 'Drama',  53, 'Thriller'"	2231996	5.8	108	en
Margaret's Museum	" 18, 'Drama'"	9131995	7.5	114	en
Happiness Is in the Field	" 35, 'Comedy'"	1311995	7	106	en
Anne Frank Remembered	" 99, 'Documentary',  18, 'Drama',  10769, 'Foreign'"	681995	7.3	117	en
The Young Poisoner's Handbook	" 35, 'Comedy',  80, 'Crime',  18, 'Drama'"	1201995	6.9	99	en
If Lucy Fell	" 35, 'Comedy',  10749, 'Romance'"	381996	5.4	92	en
Steal Big Steal Little	" 35, 'Comedy',  18, 'Drama'"	9291995	5.1	113	en
Race the Sun	" 28, 'Action',  12, 'Adventure',  35, 'Comedy',  18, 'Drama',  10751, 'Family'"	3221996	5.2	100	en
The Boys of St. Vincent	" 18, 'Drama'"	1261992	7	90	en
Boomerang	" 35, 'Comedy',  10749, 'Romance'"	6301992	5.4	117	en
Chungking Express	" 18, 'Drama',  35, 'Comedy',  10749, 'Romance'"	7141994	7.9	102	cn
The Star Maker	" 18, 'Drama',  10749, 'Romance'"	9211995	6.8	113	it
Flirting with Disaster	" 35, 'Comedy',  10749, 'Romance'"	3221996	6.3	92	en
The Neverending Story III: Escape from Fantasia	" 14, 'Fantasy'"	10261994	4.4	95	en
The Silences of the Palace	" 18, 'Drama'"	9301994	4.3	116	ar
The Silences of the Palace	 " 'Null 	111995	0	87	en
Pie in the Sky	" 35, 'Comedy',  10749, 'Romance'"	291996	7	95	en
Angela	" 35, 'Comedy',  18, 'Drama'"	111995	5.6	99	en
Frankie Starlight	" 18, 'Drama',  10749, 'Romance',  10752, 'War'"	11221995	5.4	101	it
Jade	" 28, 'Action',  53, 'Thriller',  9648, 'Mystery',  10749, 'Romance'"	10131995	5.1	95	en
Nueba Yol	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	8161995	5.5	102	es
Sonic Outlaws	" 10402, 'Music',  99, 'Documentary'"	811995	0	87	en
Down Periscope	" 35, 'Comedy'"	311996	5.6	92	en
From the Journals of Jean Seberg	" 99, 'Documentary'"	981995	6.5	97	en
Man of the Year	" 35, 'Comedy'"	9151995	3.8	86	en
The Neon Bible	" 18, 'Drama'"	8231995	7.2	91	en
Target	 " 'Null 	811995	0	122	en
Up Close & Personal	" 18, 'Drama',  10749, 'Romance'"	311996	5.9	119	en
The Birdcage	" 35, 'Comedy'"	381996	6.7	117	en
Virgin Mary	" 18, 'Drama'"	10121995	7	125	en
The Brothers McMullen	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	891995	6.3	98	en
Bad Boys	" 28, 'Action',  35, 'Comedy',  80, 'Crime',  53, 'Thriller'"	471995	6.5	118	en
The Amazing Panda Adventure	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  10751, 'Family'"	8251995	5	81	en
The Basketball Diaries	" 18, 'Drama',  80, 'Crime'"	4211995	7.2	102	en
An Awfully Big Adventure	" 10749, 'Romance',  18, 'Drama',  35, 'Comedy'"	7211995	6	113	en
Amateur	" 80, 'Crime',  35, 'Comedy',  18, 'Drama',  53, 'Thriller'"	851994	6.5	105	en
Apollo 13	" 18, 'Drama'"	6301995	7.3	140	en
Rob Roy	" 12, 'Adventure'"	4131995	6.5	139	en
The Addiction	" 18, 'Drama',  27, 'Horror'"	1101995	6.4	82	en
Batman Forever	" 28, 'Action',  80, 'Crime',  14, 'Fantasy'"	6161995	5.2	121	en
Belle de Jour	" 18, 'Drama',  10749, 'Romance'"	5241967	7.3	101	fr
Beyond Rangoon	" 18, 'Drama',  53, 'Thriller'"	5241995	6.4	100	en
Blue in the Face	" 35, 'Comedy'"	9151995	6.8	83	en
Canadian Bacon	" 28, 'Action',  35, 'Comedy'"	681995	5.9	91	en
Casper	" 14, 'Fantasy',  35, 'Comedy',  10751, 'Family'"	5261995	6	100	en
Clockers	" 9648, 'Mystery',  80, 'Crime',  18, 'Drama'"	9151995	6.8	128	en
Congo	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  9648, 'Mystery',  878, 'Science Fiction',  53, 'Thriller'"	691995	5	109	en
Crimson Tide	" 28, 'Action',  53, 'Thriller',  18, 'Drama'"	5121995	7	116	en
Crumb	" 99, 'Documentary'"	9101994	7.6	119	en
Desperado	" 53, 'Thriller',  28, 'Action',  80, 'Crime'"	8251995	6.8	104	en
Devil in a Blue Dress	" 18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	9151995	6.3	102	en
Die Hard: With a Vengeance	" 28, 'Action',  53, 'Thriller'"	5191995	6.9	128	en
The Doom Generation	" 28, 'Action',  35, 'Comedy',  80, 'Crime',  18, 'Drama'"	10271995	5.6	80	en
Feast of July	" 18, 'Drama',  80, 'Crime'"	10121995	0	116	en
First Knight	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  10749, 'Romance'"	771995	5.9	134	en
Free Willy 2 - The Adventure Home	" 12, 'Adventure'"	7191995	5.5	95	en
Hackers	" 28, 'Action',  80, 'Crime',  53, 'Thriller',  18, 'Drama'"	9141995	6.2	107	en
Jeffrey	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	8181995	6.5	92	en
Johnny Mnemonic	" 12, 'Adventure',  28, 'Action',  18, 'Drama',  878, 'Science Fiction',  53, 'Thriller'"	5261995	5.5	97	en
Judge Dredd	" 878, 'Science Fiction'"	6301995	5.4	96	en
Jury Duty	" 35, 'Comedy',  18, 'Drama'"	4121995	4	88	en
Kids	" 18, 'Drama',  80, 'Crime'"	7281995	6.8	91	en
Living in Oblivion	" 18, 'Drama',  35, 'Comedy'"	1201995	7.2	89	en
Lord of Illusions	" 9648, 'Mystery',  27, 'Horror',  53, 'Thriller'"	8251995	5.9	119	en
Love & Human Remains	" 35, 'Comedy',  18, 'Drama'"	5201993	7	100	en
Mad Love	" 18, 'Drama',  10751, 'Family',  10749, 'Romance'"	5261995	5.5	95	en
Mallrats	" 10749, 'Romance',  35, 'Comedy'"	10201995	6.8	94	en
Mighty Morphin Power Rangers: The Movie	" 28, 'Action',  12, 'Adventure',  878, 'Science Fiction',  10751, 'Family',  14, 'Fantasy'"	6301995	5.2	92	en
Moonlight and Valentino	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	9291995	5.6	100	en
Mute Witness	" 53, 'Thriller',  10769, 'Foreign'"	9281995	6.4	95	en
Nadja	" 27, 'Horror',  53, 'Thriller'"	9131994	5.9	93	en
The Net	" 80, 'Crime',  18, 'Drama',  9648, 'Mystery',  53, 'Thriller',  28, 'Action'"	7281995	5.6	114	en
Nine Months	" 35, 'Comedy'"	7121995	5.5	103	en
Party Girl	" 35, 'Comedy'"	691995	5.8	94	en
The Prophecy	" 14, 'Fantasy',  27, 'Horror',  53, 'Thriller'"	911995	6.4	98	en
Reckless	" 14, 'Fantasy',  35, 'Comedy',  18, 'Drama'"	11171995	10	91	en
Safe	" 18, 'Drama'"	6231995	7.2	119	en
The Scarlet Letter	" 18, 'Drama',  36, 'History',  10749, 'Romance'"	10131995	5.5	135	en
The Show	" 99, 'Documentary'"	8251995	5.3	93	en
Showgirls	" 18, 'Drama'"	9221995	4.9	128	en
Smoke	" 35, 'Comedy',  18, 'Drama'"	691995	7.2	112	en
Something to Talk About	" 35, 'Comedy'"	841995	5.7	106	en
Species	" 878, 'Science Fiction',  27, 'Horror',  28, 'Action'"	771995	5.5	108	en
The Stars Fell on Henrietta	" 18, 'Drama'"	9151995	6.6	109	en
Strange Days	" 80, 'Crime',  18, 'Drama',  878, 'Science Fiction',  53, 'Thriller'"	10131995	6.8	145	en
The Umbrellas of Cherbourg	" 18, 'Drama',  10749, 'Romance'"	2191964	7.6	91	fr
The Tie That Binds	" 53, 'Thriller'"	981995	4.6	99	en
Three Wishes	" 18, 'Drama',  14, 'Fantasy'"	10271995	6.1	115	en
Total Eclipse	" 18, 'Drama',  10749, 'Romance'"	1121995	6.5	111	en
"To Wong Foo, Thanks for Everything! Julie Newmar"	" 35, 'Comedy'"	971995	6.3	105	en
Under Siege 2: Dark Territory	" 28, 'Action',  53, 'Thriller'"	7131995	5.6	100	en
Unstrung Heroes	" 35, 'Comedy',  18, 'Drama',  10751, 'Family'"	9151995	6.4	93	en
Unzipped	" 99, 'Documentary'"	8111995	6	73	en
A Walk in the Clouds	" 18, 'Drama',  10749, 'Romance'"	8111995	6.5	103	en
Waterworld	" 12, 'Adventure',  28, 'Action'"	7281995	5.9	135	en
White Man's Burden	" 18, 'Drama'"	1211995	5.1	89	en
Wild Bill	" 28, 'Action',  37, 'Western'"	1211995	5.9	98	en
The Browning Version	" 18, 'Drama'"	10121994	6	97	en
Bushwhacked	" 12, 'Adventure',  28, 'Action',  35, 'Comedy',  80, 'Crime',  10751, 'Family'"	841995	4.9	90	en
Burnt by the Sun	" 18, 'Drama'"	511994	6.7	135	ru
Before the Rain	" 18, 'Drama',  10752, 'War'"	691994	7.7	113	en
Before Sunrise	" 18, 'Drama',  10749, 'Romance'"	1271995	7.7	105	en
Billy Madison	" 35, 'Comedy'"	2101995	6.2	89	en
The Babysitter	" 18, 'Drama',  53, 'Thriller'"	10171995	4.7	90	en
Boys on the Side	" 35, 'Comedy',  18, 'Drama'"	231995	6.3	115	en
The Cure	" 18, 'Drama',  10751, 'Family'"	4211995	7.2	97	en
Castle Freak	" 53, 'Thriller',  18, 'Drama',  27, 'Horror',  9648, 'Mystery'"	841995	5.8	95	en
Circle of Friends	" 18, 'Drama',  10751, 'Family',  10749, 'Romance'"	3161995	6.5	103	en
Clerks	" 35, 'Comedy'"	9131994	7.4	92	en
Don Juan DeMarco	" 10749, 'Romance',  18, 'Drama',  35, 'Comedy'"	1011994	6.3	97	en
Disclosure	" 18, 'Drama',  53, 'Thriller',  80, 'Crime',  9648, 'Mystery',  10749, 'Romance'"	1291994	5.9	123	en
Dream Man	" 53, 'Thriller'"	111995	2.5	0	en
Drop Zone	" 28, 'Action',  12, 'Adventure',  53, 'Thriller'"	1281994	5.1	101	en
Destiny Turns on the Radio	" 80, 'Crime',  35, 'Comedy',  14, 'Fantasy'"	4281995	5.3	0	it
Death and the Maiden	" 18, 'Drama',  53, 'Thriller',  9648, 'Mystery'"	541994	7.1	103	en
Dolores Claiborne	" 80, 'Crime',  18, 'Drama',  9648, 'Mystery'"	3241995	7.1	132	en
Dumb and Dumber	" 35, 'Comedy'"	12161994	6.5	107	en
Eat Drink Man Woman	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	831994	7.5	123	zh
Exotica	" 18, 'Drama',  9648, 'Mystery'"	9241994	6.5	103	en
Exit to Eden	" 53, 'Thriller',  35, 'Comedy',  80, 'Crime',  10749, 'Romance'"	10141994	4.3	113	en
Ed Wood	" 35, 'Comedy',  18, 'Drama',  36, 'History'"	9271994	7.3	127	en
French Kiss	" 35, 'Comedy',  10749, 'Romance'"	551995	6.2	111	en
Forget Paris	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	5191995	6.1	101	en
Far from Home: The Adventures of Yellow Dog	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  10751, 'Family'"	1131995	5.6	87	en
A Goofy Movie	" 10749, 'Romance',  16, 'Animation',  10751, 'Family',  35, 'Comedy',  12, 'Adventure'"	471995	6.7	78	en
Hideaway	" 18, 'Drama',  53, 'Thriller'"	331995	5	103	en
Fluke	" 18, 'Drama',  10751, 'Family',  14, 'Fantasy'"	621995	6.6	96	en
Farinelli	" 36, 'History',  18, 'Drama'"	1271994	5.9	111	fr
Gordy	" 18, 'Drama',  10751, 'Family',  14, 'Fantasy'"	5121995	3	90	en
Gumby: The Movie	" 14, 'Fantasy',  16, 'Animation',  878, 'Science Fiction',  10751, 'Family'"	1211995	5	77	en
The Glass Shield	" 18, 'Drama',  28, 'Action',  53, 'Thriller',  80, 'Crime'"	9161994	5.4	109	en
Hoop Dreams	" 99, 'Documentary'"	9121994	7.7	171	en
Heavenly Creatures	" 18, 'Drama',  14, 'Fantasy'"	921994	6.9	99	en
Houseguest	" 35, 'Comedy',  10751, 'Family'"	161995	6	113	en
Immortal Beloved	" 18, 'Drama',  10402, 'Music',  10749, 'Romance'"	12161994	6.9	121	en
Heavyweights	" 35, 'Comedy',  10751, 'Family',  18, 'Drama'"	2171995	6	100	en
The Hunted	" 28, 'Action',  53, 'Thriller'"	2241995	6	106	en
I.Q.	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	12241994	5.9	100	en
Interview with the Vampire	" 27, 'Horror',  10749, 'Romance'"	11111994	7.2	123	en
Jefferson in Paris	" 18, 'Drama',  10749, 'Romance'"	3311995	5.2	139	en
The Jerky Boys	" 35, 'Comedy',  80, 'Crime'"	231995	4.8	82	en
Junior	" 35, 'Comedy',  10751, 'Family',  10749, 'Romance'"	11221994	4.7	109	en
Just Cause	" 28, 'Action',  18, 'Drama',  9648, 'Mystery',  53, 'Thriller'"	2171995	6	102	en
A Kid in King Arthur's Court	" 12, 'Adventure',  14, 'Fantasy',  35, 'Comedy',  878, 'Science Fiction',  10751, 'Family'"	8111995	4.3	89	en
Kiss of Death	" 28, 'Action',  80, 'Crime',  18, 'Drama',  53, 'Thriller'"	4211995	5.7	101	en
Star Wars	" 12, 'Adventure',  28, 'Action',  878, 'Science Fiction'"	5251977	8.1	121	en
Little Women	" 18, 'Drama',  10749, 'Romance'"	12211994	7	115	en
A Little Princess	" 18, 'Drama',  10751, 'Family',  14, 'Fantasy'"	5101995	7.4	97	en
Ladybird Ladybird	" 18, 'Drama'"	2181994	7.4	101	en
L'Enfer	" 80, 'Crime',  18, 'Drama'"	2161994	6.6	100	fr
Like Water for Chocolate	" 18, 'Drama',  10749, 'Romance'"	4161992	6.6	105	es
Legends of the Fall	" 12, 'Adventure',  18, 'Drama',  10749, 'Romance',  10752, 'War'"	12161994	7.2	133	en
Major Payne	" 12, 'Adventure',  35, 'Comedy',  10751, 'Family'"	3241995	6.1	95	en
Little Odessa	" 28, 'Action',  18, 'Drama'"	10271994	6.4	98	en
Mi Vida Loca	" 80, 'Crime',  18, 'Drama'"	681994	5.7	92	en
Love Affair	" 18, 'Drama',  10749, 'Romance'"	10211994	4.3	108	en
Losing Isaiah	" 18, 'Drama'"	3171995	6.4	106	en
The Madness of King George	" 35, 'Comedy',  18, 'Drama',  36, 'History'"	12281994	6.7	107	en
Mary Shelley's Frankenstein	" 18, 'Drama',  27, 'Horror',  878, 'Science Fiction',  10749, 'Romance'"	1141994	6.1	123	en
Man of the House	" 28, 'Action',  35, 'Comedy',  10751, 'Family'"	331995	5.1	96	en
Mixed Nuts	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	12211994	5.2	97	en
Milk Money	" 35, 'Comedy',  10749, 'Romance'"	8311994	5.6	108	en
Miracle on 34th Street	" 14, 'Fantasy',  18, 'Drama',  10751, 'Family'"	11181994	6.4	114	en
Miami Rhapsody	" 35, 'Comedy',  10749, 'Romance'"	1271995	5.6	95	en
My Family	" 35, 'Comedy',  18, 'Drama'"	531995	7	128	en
Murder in the First	" 80, 'Crime',  18, 'Drama'"	1201995	6.9	122	en
Nobody's Fool	" 18, 'Drama',  35, 'Comedy'"	12231994	7	110	en
Nell	" 18, 'Drama',  53, 'Thriller'"	12231994	6.1	112	en
New Jersey Drive	" 80, 'Crime',  18, 'Drama'"	4191995	6.9	98	en
New York Cop	" 28, 'Action',  53, 'Thriller',  80, 'Crime',  18, 'Drama'"	8141993	0	93	en
Beyond Bedlam	" 27, 'Horror'"	4221994	4	89	en
Nemesis 2 - Nebula	" 878, 'Science Fiction',  28, 'Action',  53, 'Thriller'"	9261995	4.6	83	en
Nina Takes a Lover	" 18, 'Drama',  10749, 'Romance'"	331995	7.4	100	en
Natural Born Killers	" 80, 'Crime',  53, 'Thriller',  18, 'Drama'"	8251994	6.9	119	en
Only You	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	9171994	6.4	115	en
Once Were Warriors	" 18, 'Drama'"	921994	7.6	99	en
Poison Ivy II: Lily	" 18, 'Drama',  10749, 'Romance',  53, 'Thriller'"	1161996	4.6	106	en
Outbreak	" 28, 'Action',  18, 'Drama',  878, 'Science Fiction',  53, 'Thriller'"	3101995	6.4	127	en
Leon: The Professional	" 53, 'Thriller',  80, 'Crime',  18, 'Drama'"	9141994	8.2	110	fr
The Perez Family	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	5121995	6.6	113	en
A Pyromaniac's Love Story	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	4281995	7	94	en
Pulp Fiction	" 53, 'Thriller',  80, 'Crime'"	9101994	8.3	154	en
Panther	" 18, 'Drama'"	11101995	6.4	124	en
Pushing Hands	" 35, 'Comedy',  18, 'Drama'"	211992	6.1	105	zh
Priest	" 18, 'Drama',  10749, 'Romance'"	111994	6.4	98	en
Quiz Show	" 36, 'History',  18, 'Drama'"	9161994	7.1	133	en
Picture Bride	" 18, 'Drama',  36, 'History'"	551995	7.4	94	en
Queen Margot	" 18, 'Drama',  36, 'History'"	5131994	7	162	fr
The Quick and the Dead	" 28, 'Action',  37, 'Western'"	291995	6.2	107	en
Roommates	" 18, 'Drama',  35, 'Comedy'"	311995	6.4	108	sv
Prêt-à-Porter	" 18, 'Drama',  35, 'Comedy'"	12231994	5.3	133	en
Three Colors: Red	" 18, 'Drama',  9648, 'Mystery',  10749, 'Romance'"	5271994	7.8	99	fr
Three Colors: Blue	" 18, 'Drama',  10402, 'Music',  9648, 'Mystery'"	1101993	7.7	98	fr
